"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","FakeStore API Testing","0","Users Management","5","0","Security Tests","0"
"0","FakeStore API Testing","6","Carts Management","7","0","Get Single Cart","0"
"0","FakeStore API Testing","0","Authentication","23","0","User Authentication","0"
"0","FakeStore API Testing","0","Products Management","3","0","Delete Product","0"
"0","FakeStore API Testing","8","Products Management","8","0","Get Single Product","0"
"0","FakeStore API Testing","8","Users Management","10","0","Create User","0"
"0","FakeStore API Testing","3","Carts Management","0","0","Edge Cases","0"
"0","FakeStore API Testing","14","Carts Management","5","0","Create Cart","0"
"0","FakeStore API Testing","0","Authentication","26","0","Edge Cases","0"
"0","FakeStore API Testing","0","Carts Management","2","0","Get All Carts","0"
"0","FakeStore API Testing","0","Authentication","19","0","Security Tests","0"
"0","FakeStore API Testing","5","Users Management","7","0","Get Single User","0"
"0","FakeStore API Testing","0","Users Management","9","0","Update User","0"
"0","FakeStore API Testing","15","Products Management","5","0","Create Product","0"
"0","FakeStore API Testing","0","Carts Management","5","0","Update Cart","0"
"0","FakeStore API Testing","0","Users Management","2","0","Get All Users","0"
"0","FakeStore API Testing","7","Products Management","0","0","Security Tests","0"
"0","FakeStore API Testing","0","Products Management","2","0","Get All Products","0"
"0","FakeStore API Testing","1","Products Management","4","0","Update Product","0"
"0","FakeStore API Testing","1","Users Management","3","0","Delete User","0"
"0","Environment Validation","0","Connectivity Tests","1","0","API Connectivity","0"
"0","FakeStore API Testing","0","Carts Management","3","0","Delete Cart","0"
"0","FakeStore API Testing","3","Products Management","0","0","Edge Cases","0"
"0","FakeStore API Testing","0","Carts Management","7","0","Security Tests","0"
"0","Environment Validation","0","Connectivity Tests","1","0","Environment Setup","0"
"0","Environment Validation","0","Connectivity Tests","1","0","Allure Integration","0"
"0","Environment Validation","0","Connectivity Tests","1","0","Test Framework","0"
